Date,Price,Price After Diff,MA30 Before Diff,MA90 Before Diff
2018-07-03,19867.7,-611.2999999999993,23370.85666666667,25205.28222222222
2018-07-04,20377.1,509.3999999999978,23177.833333333332,25141.420000000002
2018-07-05,20122.4,-254.6999999999971,22992.153333333332,25075.20777777778
2018-07-06,20784.6,662.1999999999971,22854.606666666667,25019.232222222225
2018-07-09,20453.5,-331.09999999999854,22763.760000000002,24959.577777777777
2018-07-10,20580.9,127.40000000000146,22644.893333333333,24896.541111111113
2018-07-11,19969.5,-611.4000000000015,22538.760000000002,24825.272222222222
2018-07-12,19765.8,-203.70000000000073,22416.496666666662,24749.82
2018-07-13,20682.7,916.9000000000015,22317.15666666667,24675.920000000002
2018-07-16,20835.6,152.89999999999782,22209.33,24608.99666666667
2018-07-17,21345.0,509.40000000000146,22109.143333333333,24547.733333333334
2018-07-18,21854.4,509.40000000000146,22014.05,24495.00777777778
2018-07-19,21650.7,-203.70000000000073,21924.053333333333,24440.978888888883
2018-07-20,21192.2,-458.5,21816.22666666667,24388.09333333333
2018-07-23,21395.9,203.70000000000073,21722.83,24334.112222222222
2018-07-24,21497.8,101.89999999999782,21653.206666666665,24282.223333333335
2018-07-25,21599.7,101.90000000000146,21578.49,24233.865555555556
2018-07-26,21676.1,76.39999999999782,21509.716666666667,24184.436666666665
2018-07-27,22058.2,382.1000000000022,21455.376666666667,24135.41555555556
2018-07-30,22058.2,0.0,21419.71666666667,24087.833333333332
2018-07-31,21803.5,-254.70000000000073,21390.85,24041.74
2018-08-01,21395.9,-407.59999999999854,21333.11333333333,23998.31444444444
2018-08-02,21752.5,356.59999999999854,21304.243333333332,23955.972222222223
2018-08-03,21701.6,-50.900000000001455,21263.49,23911.625555555554
2018-08-06,21523.3,-178.29999999999927,21215.09333333333,23868.175555555557
2018-08-07,21370.5,-152.79999999999927,21171.793333333335,23820.15
2018-08-08,21650.7,280.2000000000007,21141.23,23769.479999999996
2018-08-09,21803.5,152.79999999999927,21146.323333333337,23716.668888888886
2018-08-10,21956.3,152.79999999999927,21173.493333333332,23666.995555555557
2018-08-13,22134.6,178.29999999999927,21228.68,23616.904444444444
2018-08-14,22567.6,433.0,21318.67666666667,23565.386666666665
2018-08-15,22312.9,-254.6999999999971,21383.20333333333,23512.47888888889
2018-08-16,22417.2,104.29999999999927,21459.696666666667,23457.37111111111
2018-08-17,22677.8,260.59999999999854,21522.803333333333,23400.36111111111
2018-08-20,22782.1,104.29999999999927,21600.423333333332,23351.226666666666
2018-08-21,22782.1,0.0,21673.79666666667,23299.213333333333
2018-08-22,22964.6,182.5,21773.633333333335,23256.904444444444
2018-08-23,23147.0,182.40000000000146,21886.34,23220.941111111115
2018-08-24,23173.1,26.099999999998545,21969.353333333333,23180.948888888888
2018-08-27,23147.0,-26.099999999998545,22046.4,23140.666666666668
2018-08-28,23042.8,-104.20000000000073,22102.993333333336,23105.464444444446
2018-08-29,23042.8,0.0,22142.606666666667,23067.383333333335
2018-08-30,23016.7,-26.099999999998545,22188.140000000003,23044.845555555556
2018-08-31,23042.8,26.099999999998545,22249.826666666664,23030.274444444443
2018-09-04,22990.6,-52.20000000000073,22302.98333333333,23021.84
2018-09-05,22573.6,-417.0,22338.843333333334,22999.176666666666
2018-09-06,22078.3,-495.2999999999993,22354.796666666665,22971.010000000002
2018-09-07,22417.2,338.90000000000146,22379.5,22941.81111111111
2018-09-10,22182.6,-234.60000000000218,22383.646666666667,22906.166666666668
2018-09-11,22495.4,312.8000000000029,22398.219999999998,22870.16
2018-09-12,22443.2,-52.20000000000073,22419.54333333333,22836.452222222222
2018-09-13,22625.7,182.5,22460.536666666667,22807.65
2018-09-14,23225.2,599.5,22509.626666666667,22785.98888888889
2018-09-17,22990.6,-234.60000000000218,22552.59333333333,22755.964444444446
2018-09-18,23355.6,365.0,22613.67,22719.91888888889
2018-09-19,23694.4,338.8000000000029,22691.133333333335,22688.597777777777
2018-09-20,23929.0,234.59999999999854,22767.076666666664,22664.20111111111
2018-09-21,23929.0,0.0,22837.926666666663,22639.325555555555
2018-09-24,24033.3,104.29999999999927,22907.16,22614.64888888889
2018-09-25,23929.0,-104.29999999999927,22966.973333333335,22587.853333333333
2018-09-26,24007.2,78.20000000000073,23014.960000000003,22568.164444444446
2018-09-27,24085.4,78.20000000000073,23074.043333333335,22545.02666666667
2018-09-28,24137.6,52.19999999999709,23131.39,22527.746666666666
2018-10-01,23981.2,-156.39999999999782,23174.836666666666,22517.415555555555
2018-10-02,23616.2,-365.0,23202.640000000003,22522.274444444447
2018-10-03,23720.5,104.29999999999927,23233.92,22517.536666666667
2018-10-04,23903.0,182.5,23265.2,22525.864444444444
2018-10-05,23772.6,-130.40000000000146,23286.053333333333,22529.63
2018-10-08,23459.8,-312.7999999999993,23295.61,22527.373333333333
2018-10-09,23303.4,-156.39999999999782,23300.82333333333,22518.85111111111
2018-10-10,23616.2,312.7999999999993,23319.936666666665,22510.691111111115
2018-10-11,22260.8,-1355.4000000000015,23293.87,22483.508888888886
