"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2020","126.200","154.200","157.000","124.600","1.52M","-17.25%"
"11/30/2020","152.500","144.900","162.200","129.700","2.15M","10.99%"
"11/27/2020","137.400","116.500","140.200","113.000","1.69M","17.94%"
"11/26/2020","116.500","113.800","117.500","113.400","184.80K","3.19%"
"11/25/2020","112.900","114.800","116.000","108.200","926.72K","-5.84%"
"11/24/2020","119.900","118.400","124.300","110.900","1.50M","27.69%"
"11/23/2020","93.900","93.900","97.300","91.000","516.34K","0.54%"
"11/20/2020","93.400","91.100","97.700","89.000","479.16K","1.08%"
"11/19/2020","92.400","93.200","94.700","90.200","389.09K","0.43%"
"11/18/2020","92.000","95.700","99.700","91.500","559.36K","-2.13%"
"11/17/2020","94.000","88.900","96.100","86.300","754.07K","2.73%"
"11/16/2020","91.500","92.500","97.300","86.700","806.40K","-1.40%"
"11/13/2020","92.800","96.400","98.700","92.200","720.39K","1.09%"
"11/12/2020","91.800","95.100","106.500","90.000","1.08M","-8.47%"
"11/11/2020","100.300","88.800","108.000","83.800","1.79M","-6.96%"
"11/10/2020","107.800","126.500","126.700","104.800","1.19M","-26.42%"
"11/09/2020","146.500","168.600","187.100","135.000","2.06M","14.90%"
"11/06/2020","127.500","136.800","153.400","104.900","4.84M","55.87%"
"11/05/2020","81.800","66.900","82.000","63.700","1.79M","40.55%"
"11/04/2020","58.200","62.300","62.500","57.500","499.71K","-9.35%"
"11/03/2020","64.200","65.700","65.800","59.100","537.28K","2.72%"
"11/02/2020","62.500","54.500","64.200","54.400","478.43K","16.17%"
"10/30/2020","53.800","54.100","54.400","51.700","204.96K","-1.10%"
"10/29/2020","54.400","51.800","54.500","50.900","247.41K","7.09%"
"10/28/2020","50.800","51.000","54.000","49.300","351.09K","-3.05%"
"10/27/2020","52.400","57.300","57.600","52.400","294.10K","-9.50%"
"10/26/2020","57.900","60.900","61.200","57.500","217.54K","-5.55%"
"10/23/2020","61.300","64.000","64.000","60.600","207.39K","-3.62%"
"10/22/2020","63.600","64.900","65.000","60.800","247.71K","-0.47%"
"10/21/2020","63.900","60.200","64.900","60.000","478.73K","7.58%"
"10/20/2020","59.400","61.100","61.100","55.400","475.43K","-3.88%"
"10/19/2020","61.800","53.300","62.000","51.800","500.23K","16.17%"
"10/16/2020","53.200","57.600","57.600","53.100","246.70K","-6.50%"
"10/15/2020","56.900","58.700","58.900","56.600","211.30K","-4.53%"
"10/14/2020","59.600","63.500","63.900","59.400","270.99K","-4.94%"
"10/13/2020","62.700","65.200","65.300","62.000","261.39K","-4.86%"
